ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
33983986,Homme,1,Non,16,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,"54,55","825,1",Non
39394630,Femme,0,Non,13,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,"19,3","279,3",Non
15041770,Homme,0,Non,71,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,"93,25","6669,45",Non
9571127,Homme,0,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,"74,65","544,55",Oui
52916217,Homme,0,Oui,58,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,"71,6","4230,25",Non
53276259,Femme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Cheque papier,"19,9","45,75",Non
16111899,Femme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,"78,95","378,4",Oui
15321803,Homme,0,Oui,7,Non,DSL,Non,Oui,Bisannuel,Non,Cheque papier,"38,55",280,Non
59376982,Femme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,"65,45","554,45",Non
411479,Homme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"96,1","453,4",Oui
14051655,Homme,0,Oui,1,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,"18,8","18,8",Non
39324621,Homme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,"115,8","8332,15",Non
57446760,Homme,1,Non,51,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,"93,65","4839,15",Non
22332617,Homme,0,Oui,6,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,"44,6","260,8",Oui
50615951,Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,"24,7","24,7",Non
34924096,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,"82,3","214,4",Non
20772440,Homme,0,Oui,17,Non,Non,Oui,Oui,Annuel,Non,Virement bancaire,"19,9","329,75",Non
10341223,Homme,0,Oui,64,Non,DSL,Oui,Oui,Bisannuel,Non,Cheque papier,"69,25","4447,75",Non
37894446,Femme,0,Non,63,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,98,"6218,45",Non
56966705,Femme,0,Oui,59,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,"106,15","6256,2",Non
9311097,Femme,0,Non,7,Non,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,"81,25","580,1",Non
54586421,Homme,0,Non,32,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,"79,25","2619,15",Non
33073882,Homme,0,Non,71,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,"65,15","4681,75",Non
633745,Femme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,"44,05","202,15",Non
16621958,Femme,0,Non,46,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,"53,1","2459,8",Non
498583,Femme,1,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"89,2","346,2",Oui
9371105,Homme,0,Non,42,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,"19,55","839,4",Non
415484,Femme,0,Non,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,"108,5","8003,8",Non
23162712,Femme,0,Oui,28,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,"90,1","2598,95",Oui
32583825,Homme,0,Non,4,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,"55,3","238,5",Non
25192940,Homme,1,Non,12,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,"83,8","1029,75",Oui
27163179,Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,"84,1","4348,65",Oui
19192259,Homme,0,Non,56,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,"52,7","3019,7",Non
757895,Femme,0,Non,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,"81,2","4965,1",Non
42214959,Femme,0,Non,59,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"94,75","5597,65",Non
10411231,Homme,0,Oui,47,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,"87,2","4017,45",Non
21972576,Femme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,"19,25","617,65",Non
29413453,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,"44,95","44,95",Non
30853617,Femme,1,Non,69,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,"87,3","6055,55",Non
24502861,Homme,1,Non,67,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,"101,4","6841,05",Non
596699,Homme,1,Oui,47,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,"84,95","4018,05",Non
55846573,Homme,0,Non,68,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,"90,8","6302,85",Non
45585351,Homme,0,Oui,53,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,"69,7","3686,05",Non
10681265,Homme,0,Oui,69,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,"95,2","6671,7",Non
32903865,Femme,0,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"100,2","2983,8",Oui
30213545,Homme,0,Non,31,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,"93,8","3019,5",Oui
21182485,Homme,0,Oui,12,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,"20,5","255,5",Non
32063765,Femme,0,Non,11,Oui,Non,Oui,Non,Annuel,Non,Cheque electronique,"25,2","245,15",Non
652767,Homme,0,Non,22,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,"78,85","1600,25",Non
49575829,Femme,0,Oui,72,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,"24,45","1709,1",Non
47965642,Homme,0,Oui,39,Oui,Non,Oui,Non,Annuel,Non,Virement bancaire,"25,45","958,45",Non
28683362,Femme,1,Non,64,Oui,DSL,Oui,Non,Mensuel,Non,Carte bancaire,"74,65","4869,35",Non
19212261,Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,"80,1","217,55",Oui
58296860,Femme,0,Non,71,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Cheque papier,"111,3","7985,9",Non
29323442,Femme,0,Oui,34,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,"60,8","2042,05",Non
20182370,Homme,0,Non,64,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,"99,25","6549,45",Non
23782783,Homme,0,Oui,38,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,"85,4",3297,Non
7582,Femme,0,Oui,11,Non,DSL,Non,Oui,Mensuel,Non,Cheque electronique,"50,55","565,35",Non
46725488,Homme,0,Oui,33,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,"20,15","682,15",Non
52646181,Femme,1,Non,66,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,"102,4","6471,85",Non
49555827,Femme,0,Non,1,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,"79,35","79,35",Oui
50405924,Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"89,25","487,05",Non
38644534,Femme,0,Non,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,"105,15",7555,Non
18762204,Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,"104,9","7537,5",Non
31003635,Homme,1,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,"113,8","7845,8",Non
21822558,Homme,0,Non,3,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,"45,45","141,7",Non
39334622,Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,"49,45","314,6",Non
20252377,Homme,0,Non,11,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,"61,25","729,95",Non
10101192,Homme,0,Oui,35,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,"69,15","2490,15",Non
10291218,Homme,0,Non,62,Oui,Non,Oui,Oui,Annuel,Oui,Carte bancaire,"23,75","1446,8",Non
21772553,Femme,0,Non,47,Oui,Non,Oui,Oui,Annuel,Non,Cheque electronique,"26,9","1250,85",Non
828973,Homme,0,Non,58,Non,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,"70,1","4048,95",Non
48955758,Femme,1,Non,28,Oui,Non,Oui,Oui,Mensuel,Non,Cheque papier,"25,7","734,6",Non
57336749,Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,85,85,Oui
96106,Homme,0,Non,5,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,"24,3","100,2",Non
41654894,Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,"44,65","74,9",Oui
45855383,Homme,0,Oui,56,Non,DSL,Non,Oui,Annuel,Oui,Cheque papier,52,"2884,9",Non
56296624,Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"76,45","76,45",Oui
40384746,Femme,0,Non,34,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"100,45","3414,65",Non
12001418,Femme,1,Non,18,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,"49,85","865,75",Non
621729,Femme,1,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,"91,7","2758,15",Oui
54406399,Homme,0,Oui,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,106,"7723,7",Oui
14121662,Femme,1,Non,65,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,"108,8","7082,45",Non
566663,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,"20,05","20,05",Non
543631,Homme,1,Oui,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,"110,75","4687,9",Oui
13341575,Femme,0,Oui,15,Non,Non,Oui,Non,Annuel,Non,Cheque papier,"19,65","270,6",Non
59346978,Homme,0,Non,24,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,"49,7","1218,25",Non
5157,Femme,0,Oui,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,"99,65","6311,2",Non
50335917,Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Carte bancaire,"112,75","8192,6",Non
17402046,Femme,0,Non,69,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,"110,5","7455,45",Non
56946703,Homme,0,Oui,18,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"85,6","1601,5",Non
15581835,Homme,1,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,"45,1","45,1",Oui
745883,Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,"83,9","497,55",Oui
42995051,Homme,0,Non,66,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,"106,05","6981,35",Oui
37794434,Femme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"75,65","302,35",Non
14671727,Homme,0,Non,30,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,"49,9","1441,95",Non
40324740,Femme,0,Non,11,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,79,"929,3",Non
195230,Femme,0,Oui,47,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,"85,3","4107,25",Non
16651961,Femme,0,Oui,33,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Carte bancaire,"88,6","2888,7",Non
50015879,Homme,0,Non,3,Non,Non,Oui,Non,Annuel,Non,Cheque papier,"21,2","52,05",Non
37534404,Femme,0,Oui,32,Oui,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,"62,45","2045,55",Non
802943,Homme,0,Non,24,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,"79,85",2001,Non
16181908,Femme,0,Non,7,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,"78,5","571,05",Non
32453810,Homme,0,Non,50,Non,Non,Oui,Non,Annuel,Non,Carte bancaire,"20,15","989,05",Non
41694898,Homme,0,Oui,15,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,"30,2","469,65",Non
620728,Femme,0,Oui,5,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"80,85","356,1",Non
17382044,Homme,1,Non,16,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,"69,65","1043,3",Non
51866097,Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"70,2","70,2",Non
50555944,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"84,85","84,85",Oui
41024819,Homme,1,Non,64,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,"80,3","5017,7",Non
54346393,Femme,0,Oui,60,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,"49,75","3069,45",Non
46645479,Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,"106,3",5487,Non
644759,Femme,0,Oui,15,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,"85,9","1269,55",Oui
22912684,Femme,0,Non,7,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,"79,65","604,7",Oui
44805267,Homme,0,Oui,37,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,"58,75","2203,1",Non
17772091,Femme,0,Oui,48,Non,DSL,Non,Oui,Mensuel,Oui,Carte bancaire,"29,5","1423,05",Non
10611255,Femme,1,Non,55,Non,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,"88,8","4805,3",Non
41474876,Femme,1,Non,48,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,"117,45","5438,9",Oui
51846095,Homme,0,Non,57,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,"20,55","1252,85",Non
120137,Femme,0,Non,23,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,75,"1778,5",Non
28993396,Homme,0,Non,62,Oui,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,"90,7","5586,45",Non
24412852,Femme,0,Oui,64,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,"90,6","5817,45",Non
41194839,Femme,0,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,"109,7","7344,45",Non
48065653,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,"48,6","48,6",Non
30443570,Homme,0,Non,17,Non,Non,Oui,Non,Annuel,Non,Cheque papier,"19,95","310,6",Non
12301458,Homme,0,Non,42,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,"108,3","4586,15",Non
33493928,Homme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Carte bancaire,"20,55","51,15",Oui
56706673,Homme,0,Non,27,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,"20,35","531,6",Non
35474162,Homme,1,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,"49,95","107,1",Non
40764790,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,"71,1","71,1",Oui
32853860,Femme,0,Non,54,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,"94,75","5121,75",Non
134153,Femme,0,Oui,70,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,"108,15","7930,55",Non
50755968,Homme,1,Non,4,Non,DSL,Non,Non,Mensuel,Oui,Virement bancaire,"25,2","102,5",Oui
56466647,Homme,0,Oui,51,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,"19,4","997,75",Non
47125543,Femme,0,Non,67,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,"86,15","5883,85",Non
26663115,Homme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,"75,15","392,65",Non
51716080,Femme,0,Non,25,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,"54,1",1373,Non
33403918,Homme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,"69,1","69,1",Oui
511597,Homme,0,Non,16,Non,DSL,Non,Non,Bisannuel,Non,Cheque papier,"54,85","916,15",Non
6269,Femme,0,Oui,50,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,"20,15","930,9",Non
15531828,Femme,0,Oui,45,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,"50,9","2333,85",Non
50455930,Homme,1,Non,62,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"89,1","5618,3",Non
52036115,Homme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,"66,65","520,95",Non
50815976,Homme,0,Oui,7,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"89,75","608,8",Oui
17062012,Homme,0,Oui,53,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,"85,7","4616,1",Non
22092590,Homme,1,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"76,05","231,8",Oui
49435815,Homme,0,Non,16,Non,Non,Oui,Non,Mensuel,Oui,Carte bancaire,"20,6","330,25",Non
53976348,Homme,0,Non,15,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,"68,6","1108,6",Non
679798,Femme,0,Oui,20,Oui,Non,Oui,Oui,Mensuel,Oui,Virement bancaire,"25,55","507,4",Non
36614295,Femme,0,Non,12,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,"85,15","979,05",Non
12111433,Homme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,"20,75","739,9",Non
122139,Homme,0,Oui,57,Non,Non,Oui,Non,Bisannuel,Oui,Cheque papier,"19,6","1170,55",Non
26273068,Homme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"84,4","556,35",Oui
24042812,Femme,0,Oui,39,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,"19,75","757,95",Non
40514761,Homme,0,Oui,66,Non,DSL,Oui,Oui,Annuel,Oui,Cheque electronique,"75,1",5013,Non
34544051,Homme,1,Non,58,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"98,9","5780,7",Non
48015648,Femme,0,Non,46,Non,DSL,Oui,Oui,Mensuel,Oui,Carte bancaire,"69,1",3168,Non
12101432,Femme,0,Non,43,Oui,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,"64,85","2908,2",Non
567664,Homme,0,Oui,65,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,"69,55","4459,15",Non
23372737,Femme,1,Non,60,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,"89,45","5294,6",Non
548637,Homme,0,Non,31,Non,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,"99,45","3109,9",Non
8641019,Homme,0,Non,4,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,"40,05","162,45",Non
45275318,Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,"49,65","267,35",Oui
13921638,Homme,0,Non,66,Non,DSL,Non,Non,Annuel,Non,Carte bancaire,"29,45","1983,15",Non
44875274,Femme,0,Oui,69,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,"20,15","1337,5",Non
25923029,Homme,0,Non,5,Non,DSL,Non,Non,Mensuel,Oui,Cheque papier,"43,25",219,Oui
19832329,Femme,1,Non,35,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Virement bancaire,"102,05","3452,55",Non
59547005,Homme,0,Non,38,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,"95,1","3691,2",Non
27463215,Homme,1,Non,51,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,"79,6","3974,7",Non
720848,Femme,0,Oui,12,Non,DSL,Non,Oui,Annuel,Non,Carte bancaire,"33,15","444,75",Non
42795026,Homme,0,Oui,6,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,"69,8","377,85",Non
28653358,Femme,0,Oui,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,"59,2","59,2",Oui
690810,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"69,55","69,55",Oui
602707,Femme,0,Non,65,Non,DSL,Oui,Non,Bisannuel,Oui,Cheque papier,"59,6","3739,8",Non
29773496,Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"75,35","75,35",Oui
26383080,Femme,0,Non,4,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,"68,65","261,25",Oui
48165663,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,"70,25","70,25",Oui
18702196,Femme,0,Non,28,Oui,Non,Oui,Oui,Annuel,Non,Cheque papier,"25,55","672,2",Non
43525117,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,"70,4","70,4",Oui
503588,Homme,0,Oui,5,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,"20,1","85,1",Non
44905277,Homme,0,Oui,46,Non,DSL,Oui,Oui,Annuel,Non,Cheque papier,"56,9","2560,1",Non
318375,Homme,0,Non,37,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,"96,1","3646,8",Non
